"Experiment Name: ","Space_Base_Campaign_Example"
"Experiment Description: ","Example of a space base campaign with 2000 faults"
"Responsable: ","David Paiva"
"Date: ","12/10/2022 23:18:52"
"-"
"-"
"-"
"-"
"-"
"Target: ","EDC (CONASAT)"
"Fault Type: ","FAULT_TYPE_SPACEBASED"
"Register","Mask","PC Location","EndTime"
"R11","00000000000000000000000100000000","1010119","5000"
"R6","01000000000000000000000000000000","1010172","5000"
"LR","00000000100000000000000000000000","10101ee","5000"
"R1","00000001000000000000000000000000","10101e6","5000"
"R2","00000000000000010000000000000000","10101b8","5000"
"R8","01000000000000000000000000000000","101011b","5000"
"R7","00000000000000000000000000000010","1010194","5000"
"LR","00000000000000000001000000000000","10101d9","5000"
"R11","01000000000000000000000000000000","10101dc","5000"
"R0","00000000000000000000000000000100","101018e","5000"
"R11","00000000000001000000000000000000","1010193","5000"
"PC","01000000000000000000000000000000","101017c","5000"
"R0","00000000001000000000000000000000","1010111","5000"
"SP","00000100000000000000000000000000","101016d","5000"
"R8","00000000000000100000000000000000","10101e0","5000"
"R12","00000000000000000000000000100000","101017d","5000"
"PC","00000000000000000000001000000000","10101db","5000"
"R2","00000000000000000000010000000000","1010153","5000"
"R2","00000000000000000000000000001000","10101dd","5000"
"R4","00000000000000000000000000000100","101014d","5000"
"LR","00000000000000000000000100000000","10101fc","5000"
"R6","00000000000000001000000000000000","10101d2","5000"
"SP","00000000000000000000000010000000","1010186","5000"
"R5","00000000000000000000000000010000","101012d","5000"
"R1","00000000000000000000000000000100","10101c7","5000"
"LR","00000000000000000000010000000000","101011b","5000"
"R1","00000000000000000000000000100000","1010182","5000"
"R12","00000000000100000000000000000000","101018f","5000"
"LR","00000000000010000000000000000000","10101f0","5000"
"R9","00000000000100000000000000000000","10101fa","5000"
"R11","00000000000000000000100000000000","10101d8","5000"
"R6","00000000000000000000000001000000","10101ad","5000"
"R6","00000000000000000000000010000000","1010144","5000"
"R7","00000000000000000000000100000000","10101b3","5000"
"R2","10000000000000000000000000000000","10101b2","5000"
"R8","00000000000000000000000000000001","1010128","5000"
"R0","10000000000000000000000000000000","1010183","5000"
"R3","00000000001000000000000000000000","10101da","5000"
"R2","00001000000000000000000000000000","101013b","5000"
"R4","00000000000000000000000001000000","10101ab","5000"
"LR","00000000000000100000000000000000","101010b","5000"
"R6","00000000000000000000000000100000","101016a","5000"
"R1","00000000010000000000000000000000","10101e3","5000"
"LR","00000000000000001000000000000000","1010103","5000"
"R11","00000000000000000000000000010000","10101d4","5000"
"LR","00000000000001000000000000000000","101013d","5000"
"R7","00000010000000000000000000000000","101012e","5000"
"R5","10000000000000000000000000000000","10101f0","5000"
"R7","00000000000000000000000000000010","10101cf","5000"
"R12","00000000001000000000000000000000","10101bc","5000"
"R4","00000000000000010000000000000000","1010136","5000"
"R1","00000000000000000000000010000000","10101d1","5000"
"R10","00000000000000000000000000000001","1010140","5000"
"R4","00000000000000000000000000000100","101015a","5000"
"R11","00000000000000000000100000000000","10101dc","5000"
"R10","00000000000000010000000000000000","10101de","5000"
"R0","00000000000000100000000000000000","101015b","5000"
"R1","00000000000000100000000000000000","101014e","5000"
"R8","00000000000000000100000000000000","1010193","5000"
"R2","00000001000000000000000000000000","10101f1","5000"
"R10","00000000000000000000001000000000","10101c1","5000"
"R11","00000000000000000000000000000100","10101b1","5000"
"R4","00000000100000000000000000000000","1010120","5000"
"R11","00000000000000000000100000000000","1010124","5000"
"R12","00000000100000000000000000000000","10101f2","5000"
"R1","00000000000000010000000000000000","101017e","5000"
"R5","00000000000100000000000000000000","1010129","5000"
"R4","00000000000000000000000000001000","10101a1","5000"
"R4","01000000000000000000000000000000","101012a","5000"
"PC","00000000000000000000000000100000","10101ac","5000"
"R9","00000000000001000000000000000000","1010143","5000"
"R0","00000100000000000000000000000000","1010160","5000"
"R6","00000000000000000000000000001000","10101be","5000"
"R2","00000000000000000000000000000001","1010140","5000"
"R8","00010000000000000000000000000000","101019c","5000"
"R3","00000000000000010000000000000000","1010107","5000"
"PC","10000000000000000000000000000000","101010c","5000"
"R10","00000000000000010000000000000000","1010180","5000"
"LR","00000100000000000000000000000000","101016f","5000"
"SP","00000000000000000001000000000000","1010193","5000"
"R11","00000000000000010000000000000000","1010141","5000"
"R5","00000010000000000000000000000000","1010151","5000"
"R0","00000000100000000000000000000000","1010178","5000"
"LR","00000000000010000000000000000000","10101fe","5000"
"R10","00000000000000000000000000000010","1010110","5000"
"R11","00001000000000000000000000000000","10101ac","5000"
"PC","00000000000000010000000000000000","10101d5","5000"
"PC","00000000000000000000000000100000","10101ab","5000"
"LR","00000000000000000000001000000000","101012b","5000"
"R12","00010000000000000000000000000000","10101c2","5000"
"PC","00000000000000100000000000000000","10101b2","5000"
"R8","00000000000000000000000000100000","10101f5","5000"
"PC","00000000001000000000000000000000","101013e","5000"
"R3","00000000001000000000000000000000","10101a3","5000"
"R5","00000010000000000000000000000000","10101a7","5000"
"R0","00000000100000000000000000000000","1010119","5000"
"R5","00000000001000000000000000000000","1010121","5000"
"R12","00010000000000000000000000000000","10101b1","5000"
"R6","00000000000000000000100000000000","10101b9","5000"
"R4","00000000000000000010000000000000","1010116","5000"
"R4","00000100000000000000000000000000","10101d0","5000"
"R3","00000000000000000000000000100000","1010146","5000"
"R9","00000000000000000000000000000010","1010146","5000"
"R12","00000010000000000000000000000000","1010157","5000"
"R3","00000000000000000001000000000000","101016d","5000"
"LR","01000000000000000000000000000000","1010131","5000"
"R6","00000100000000000000000000000000","1010183","5000"
"SP","00000000000000000000000000100000","10101c5","5000"
"R7","00000000000000000000001000000000","101017b","5000"
"PC","00000000000000010000000000000000","10101fb","5000"
"LR","00000000000000000001000000000000","1010102","5000"
"R8","00000000000100000000000000000000","10101b2","5000"
"R11","00000000000000000000000000000100","1010166","5000"
"R11","00010000000000000000000000000000","1010157","5000"
"R11","00000000000000000000000000000001","1010165","5000"
"R5","00000000000000000001000000000000","1010108","5000"
"R12","00000000000010000000000000000000","10101c3","5000"
"R6","00000000000000000000000000000100","101019b","5000"
"R6","10000000000000000000000000000000","101015c","5000"
"R6","00000000000000000000000000100000","1010131","5000"
"R11","00000000000000000010000000000000","101013c","5000"
"SP","00000000000000000100000000000000","1010180","5000"
"R0","00000000000000000000000100000000","10101fb","5000"
"R12","00000000000000000001000000000000","1010173","5000"
"R5","00000100000000000000000000000000","10101b1","5000"
"R9","00000000000000000000000010000000","101012f","5000"
"R1","00000000000000000000001000000000","101014c","5000"
"R6","00000000000000000000000000000010","1010191","5000"
"R5","00000000000000000000010000000000","101014c","5000"
"R4","00000000000000000000000001000000","1010182","5000"
"LR","00000000000000000000000000000001","1010140","5000"
"R7","00000000000000000000000000010000","101019e","5000"
"PC","00000010000000000000000000000000","101010a","5000"
"R4","00000000000001000000000000000000","1010136","5000"
"LR","00001000000000000000000000000000","10101b1","5000"
"R1","00000000000000010000000000000000","101017d","5000"
"R6","00001000000000000000000000000000","1010175","5000"
"R2","00000000000000000000000000000001","10101d9","5000"
"PC","00000000000000000000000001000000","101019f","5000"
"R11","00010000000000000000000000000000","101015a","5000"
"R12","00000000000000001000000000000000","101018c","5000"
"R11","00000010000000000000000000000000","1010181","5000"
"R6","00000000000000000000000000000100","101011d","5000"
"PC","00000000000000000000100000000000","1010141","5000"
"R3","00000000100000000000000000000000","101018a","5000"
"PC","00000000000100000000000000000000","10101df","5000"
"R9","10000000000000000000000000000000","1010167","5000"
"R2","00000000000000000000000000010000","10101da","5000"
"R5","00000000000010000000000000000000","1010181","5000"
"R6","00000000010000000000000000000000","10101b2","5000"
"R2","00010000000000000000000000000000","101013b","5000"
"R8","00000000000000000000000000010000","1010153","5000"
"R4","00000000000000000000000010000000","10101a5","5000"
"R8","10000000000000000000000000000000","1010105","5000"
"R9","00000000000000000001000000000000","1010187","5000"
"R9","00000100000000000000000000000000","101011c","5000"
"LR","00000000000000100000000000000000","10101ed","5000"
"R2","00000001000000000000000000000000","101014b","5000"
"PC","00000000000000000000000000100000","101016b","5000"
"SP","00001000000000000000000000000000","1010199","5000"
"SP","00000000000000000000001000000000","10101c2","5000"
"R5","00000000000000000000010000000000","1010198","5000"
"R5","00000001000000000000000000000000","10101af","5000"
"SP","00000000000000010000000000000000","10101ae","5000"
"R3","00000000000000000000000000000100","101018d","5000"
"R10","00000000000000000000000000010000","10101e5","5000"
"R5","00000000000000100000000000000000","101010b","5000"
"R4","00000000000000001000000000000000","10101fe","5000"
"R6","00000000000000000010000000000000","1010199","5000"
"R0","00000000000000000000010000000000","10101af","5000"
"R5","00000000000000000000000100000000","10101e5","5000"
