"Experiment Name: ","Time_Base_Campaign_Example"
"Experiment Description: ","Example of a time base campaign with 2000 faults"
"Responsable: ","David Paiva"
"Date: ","12/10/2022 23:17:48"
"-"
"-"
"-"
"-"
"-"
"Target: ","EDC (CONASAT)"
"Fault Type: ","FAULT_TYPE_TIMEBASED"
"Register","Mask","T0","Tinj","T1","Tfim"
"R11","00000000000000000000000100000000","2000","4123","6000","12000"
"R9","00000000000000000000000001000000","2000","5018","6000","12000"
"R11","00000000000000001000000000000000","2000","4026","6000","12000"
"LR","00000001000000000000000000000000","2000","2073","6000","12000"
"R6","00000000000000000000000100000000","2000","3200","6000","12000"
"R5","00000010000000000000000000000000","2000","3706","6000","12000"
"PC","00000000000000010000000000000000","2000","3291","6000","12000"
"R7","00000100000000000000000000000000","2000","3994","6000","12000"
"R8","00000000010000000000000000000000","2000","2431","6000","12000"
"PC","00000100000000000000000000000000","2000","5340","6000","12000"
"PC","00000001000000000000000000000000","2000","2067","6000","12000"
"R5","00000000000000000100000000000000","2000","3761","6000","12000"
"R10","00000000000000000000000001000000","2000","5894","6000","12000"
"R0","00000000000000000000000000100000","2000","2835","6000","12000"
"R10","00000000001000000000000000000000","2000","2815","6000","12000"
"PC","00010000000000000000000000000000","2000","3147","6000","12000"
"R12","00000000000010000000000000000000","2000","4466","6000","12000"
"R6","00000000000000000000000000010000","2000","3282","6000","12000"
"R5","00000000000000000000000001000000","2000","2574","6000","12000"
"R5","00000000000000000000010000000000","2000","2965","6000","12000"
"R2","00000000000000000000000001000000","2000","5779","6000","12000"
"R6","00000000000000000100000000000000","2000","3729","6000","12000"
"R7","00000010000000000000000000000000","2000","5633","6000","12000"
"R1","00000000000000000000100000000000","2000","4734","6000","12000"
"R3","00000000000000000001000000000000","2000","2795","6000","12000"
"R2","00000000100000000000000000000000","2000","2985","6000","12000"
"SP","00000000000000000000000000001000","2000","2347","6000","12000"
"PC","00000000000000000000000000000100","2000","3033","6000","12000"
"R9","00000000000000000001000000000000","2000","3215","6000","12000"
"R10","00000000000000000001000000000000","2000","2866","6000","12000"
"SP","00000000000000000000000001000000","2000","5457","6000","12000"
"SP","00000000001000000000000000000000","2000","5176","6000","12000"
"R12","00000000000000000000100000000000","2000","4964","6000","12000"
"PC","00000000000000100000000000000000","2000","2923","6000","12000"
"R0","00000000010000000000000000000000","2000","2090","6000","12000"
"SP","00000000000000000000000000001000","2000","3857","6000","12000"
"LR","00000010000000000000000000000000","2000","5922","6000","12000"
"R9","00000000000000000100000000000000","2000","2578","6000","12000"
"R8","00000001000000000000000000000000","2000","3391","6000","12000"
"R3","00000000000100000000000000000000","2000","3869","6000","12000"
"R2","01000000000000000000000000000000","2000","2804","6000","12000"
"LR","00000000000000000000000000001000","2000","4103","6000","12000"
"SP","00000000100000000000000000000000","2000","5324","6000","12000"
"R1","00000000000000000000000000000010","2000","2291","6000","12000"
"R3","00000000001000000000000000000000","2000","5910","6000","12000"
"LR","00000001000000000000000000000000","2000","5549","6000","12000"
"R3","00000000000000000000000000000010","2000","3837","6000","12000"
"R5","00000000000100000000000000000000","2000","4721","6000","12000"
"R12","00010000000000000000000000000000","2000","4597","6000","12000"
"R1","00000000000000000001000000000000","2000","3049","6000","12000"
"R6","01000000000000000000000000000000","2000","3121","6000","12000"
"R1","00000000001000000000000000000000","2000","5107","6000","12000"
"R6","00000000000000000000000000010000","2000","2706","6000","12000"
"R0","00000000000000000000010000000000","2000","4000","6000","12000"
"LR","00000000000000000000000010000000","2000","2938","6000","12000"
"R5","00001000000000000000000000000000","2000","2297","6000","12000"
"R2","00000000000000001000000000000000","2000","4639","6000","12000"
"R0","00000000000000000000010000000000","2000","4861","6000","12000"
"R1","00000000000000000010000000000000","2000","5690","6000","12000"
"R2","00000000000000100000000000000000","2000","4261","6000","12000"
"R5","00000000000000000000000000100000","2000","2559","6000","12000"
"R7","00000000000000000000000000000001","2000","3112","6000","12000"
"R4","00000000000000000000000000100000","2000","2888","6000","12000"
"R12","00000000000000000000000000001000","2000","4986","6000","12000"
"SP","00000000000000000000100000000000","2000","5834","6000","12000"
"PC","00000000000000000000000000000001","2000","4655","6000","12000"
"R10","00000000000000000000000001000000","2000","2472","6000","12000"
"LR","01000000000000000000000000000000","2000","5374","6000","12000"
"R2","00000000000000000000000000000100","2000","3014","6000","12000"
"R6","00000100000000000000000000000000","2000","5856","6000","12000"
"R4","00000000000000000000000000100000","2000","5910","6000","12000"
"SP","00000000000000000000010000000000","2000","2136","6000","12000"
"SP","00000000000000100000000000000000","2000","2638","6000","12000"
"R11","00000000000000000000000000000001","2000","5868","6000","12000"
"R0","00000000000000000100000000000000","2000","5467","6000","12000"
"R8","00000000100000000000000000000000","2000","4786","6000","12000"
"R4","00000000000010000000000000000000","2000","3663","6000","12000"
"R7","00000000000000100000000000000000","2000","2854","6000","12000"
"R1","00010000000000000000000000000000","2000","5397","6000","12000"
"R8","00000000000000010000000000000000","2000","3159","6000","12000"
"R5","10000000000000000000000000000000","2000","4485","6000","12000"
"SP","00000000001000000000000000000000","2000","4290","6000","12000"
"SP","00000000000000100000000000000000","2000","4947","6000","12000"
"R5","01000000000000000000000000000000","2000","3573","6000","12000"
"R8","00000000000000000000000000010000","2000","3362","6000","12000"
"R12","00000000000000000000001000000000","2000","2710","6000","12000"
"R5","00000000000000000000000000000001","2000","4214","6000","12000"
"R8","00000000000000000000000000100000","2000","4892","6000","12000"
"R10","00100000000000000000000000000000","2000","3559","6000","12000"
"R4","00000000000000000000000000010000","2000","2715","6000","12000"
